district_number,district_id,state_name,district_name,gid_0,country
1,IND.12.10_1,Haryana,Karnal,IND,
2,IND.12.11_1,Haryana,Kurukshetra,IND,
3,IND.12.15_1,Haryana,Panchkula,IND,
4,IND.12.16_1,Haryana,Panipat,IND,
5,IND.12.18_1,Haryana,Rohtak,IND,
6,IND.12.19_1,Haryana,Sirsa,IND,
7,IND.12.1_1,Haryana,Ambala,IND,
8,IND.12.20_1,Haryana,Sonipat,IND,
9,IND.12.21_1,Haryana,Yamunanagar,IND,
10,IND.12.2_1,Haryana,Bhiwani,IND,
11,IND.12.3_1,Haryana,Faridabad,IND,
12,IND.12.4_1,Haryana,Fatehabad,IND,
13,IND.12.5_1,Haryana,Gurgaon,IND,
14,IND.12.6_1,Haryana,Hisar,IND,
15,IND.12.7_1,Haryana,Jhajjar,IND,
16,IND.12.8_1,Haryana,Jind,IND,
17,IND.12.9_1,Haryana,Kaithal,IND,
18,IND.28.10_1,Punjab,Jalandhar,IND,
19,IND.28.11_1,Punjab,Kapurthala,IND,
20,IND.28.12_1,Punjab,Ludhiana,IND,
21,IND.28.13_1,Punjab,Mansa,IND,
22,IND.28.14_1,Punjab,Moga,IND,
23,IND.28.15_1,Punjab,Muktsar,IND,
24,IND.28.17_1,Punjab,Patiala,IND,
25,IND.28.18_1,Punjab,Rupnagar,IND,
26,IND.28.1_1,Punjab,Amritsar,IND,
27,IND.28.20_1,Punjab,Sangrur,IND,
28,IND.28.3_1,Punjab,Bathinda,IND,
29,IND.28.4_1,Punjab,Faridkot,IND,
30,IND.28.5_1,Punjab,FatehgarhSahib,IND,
31,IND.28.7_1,Punjab,Firozpur,IND,
32,IND.28.8_1,Punjab,Gurdaspur,IND,
33,IND.28.9_1,Punjab,Hoshiarpur,IND,
34,IND.34.10_1,UttarPradesh,Bahraich,IND,
35,IND.34.11_1,UttarPradesh,Ballia,IND,
36,IND.34.12_1,UttarPradesh,Balrampur,IND,
37,IND.34.13_1,UttarPradesh,Banda,IND,
38,IND.34.14_1,UttarPradesh,Barabanki,IND,
39,IND.34.15_1,UttarPradesh,Bareilly,IND,
40,IND.34.16_1,UttarPradesh,Basti,IND,
41,IND.34.17_1,UttarPradesh,Bijnor,IND,
42,IND.34.18_1,UttarPradesh,Budaun,IND,
43,IND.34.19_1,UttarPradesh,Bulandshahr,IND,
44,IND.34.1_1,UttarPradesh,Agra,IND,
45,IND.34.20_1,UttarPradesh,Chandauli,IND,
46,IND.34.21_1,UttarPradesh,Chitrakoot,IND,
47,IND.34.22_1,UttarPradesh,Deoria,IND,
48,IND.34.23_1,UttarPradesh,Etah,IND,
49,IND.34.24_1,UttarPradesh,Etawah,IND,
50,IND.34.25_1,UttarPradesh,Faizabad,IND,
51,IND.34.26_1,UttarPradesh,Farrukhabad,IND,
52,IND.34.27_1,UttarPradesh,Fatehpur,IND,
53,IND.34.28_1,UttarPradesh,Firozabad,IND,
54,IND.34.29_1,UttarPradesh,GautamBuddhaNagar,IND,
55,IND.34.2_1,UttarPradesh,Aligarh,IND,
56,IND.34.30_1,UttarPradesh,Ghaziabad,IND,
57,IND.34.31_1,UttarPradesh,Ghazipur,IND,
58,IND.34.32_1,UttarPradesh,Gonda,IND,
59,IND.34.33_1,UttarPradesh,Gorakhpur,IND,
60,IND.34.34_1,UttarPradesh,Hamirpur,IND,
61,IND.34.36_1,UttarPradesh,Hardoi,IND,
62,IND.34.37_1,UttarPradesh,Hathras,IND,
63,IND.34.38_1,UttarPradesh,Jalaun,IND,
64,IND.34.39_1,UttarPradesh,Jaunpur,IND,
65,IND.34.3_1,UttarPradesh,Allahabad,IND,
66,IND.34.40_1,UttarPradesh,Jhansi,IND,
67,IND.34.41_1,UttarPradesh,Kannauj,IND,
68,IND.34.43_1,UttarPradesh,KanpurNagar,IND,
69,IND.34.45_1,UttarPradesh,Kaushambi,IND,
70,IND.34.46_1,UttarPradesh,Kushinagar,IND,
71,IND.34.48_1,UttarPradesh,Lalitpur,IND,
72,IND.34.49_1,UttarPradesh,Lucknow,IND,
73,IND.34.4_1,UttarPradesh,AmbedkarNagar,IND,
74,IND.34.50_1,UttarPradesh,Maharajganj,IND,
75,IND.34.51_1,UttarPradesh,Mahoba,IND,
76,IND.34.52_1,UttarPradesh,Mainpuri,IND,
77,IND.34.53_1,UttarPradesh,Mathura,IND,
78,IND.34.54_1,UttarPradesh,Mau,IND,
79,IND.34.55_1,UttarPradesh,Meerut,IND,
80,IND.34.56_1,UttarPradesh,Mirzapur,IND,
81,IND.34.57_1,UttarPradesh,Moradabad,IND,
82,IND.34.58_1,UttarPradesh,Muzaffarnagar,IND,
